2019/08/28 11:24:17.980 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sessionListener' of type [com.springboot.test.shiro.config.shiro.ShiroSessionListener] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:17.981 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sessionIdCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:17.987 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sessionIdGenerator' of type [org.apache.shiro.session.mgt.eis.JavaUuidSessionIdGenerator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:17.995 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sessionDAO' of type [org.apache.shiro.session.mgt.eis.EnterpriseCacheSessionDAO] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.009 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sessionManager' of type [org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.025 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.035 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'getMethodInvokingFactoryBean' of type [org.springframework.beans.factory.config.MethodInvokingFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.040 o.a.s.cache.ehcache.EhCacheManager [] INFO  Using existing EHCache named [shiro-activeSessionCache]
2019/08/28 11:24:18.053 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'kickoutSessionControlFilter' of type [com.springboot.test.shiro.config.shiro.KickoutSessionControlFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.174 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.196 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$73660118] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:18.748 o.s.b.c.e.t.TomcatEmbeddedServletContainer [] INFO  Tomcat initialized with port(s): 9090 (http)
2019/08/28 11:24:18.759 o.a.catalina.core.StandardService [] INFO  Starting service [Tomcat]
2019/08/28 11:24:18.760 o.a.catalina.core.StandardEngine [] INFO  Starting Servlet Engine: Apache Tomcat/8.5.16
2019/08/28 11:24:18.935 o.a.c.c.C.[Tomcat].[localhost].[/] [] INFO  Initializing Spring embedded WebApplicationContext
2019/08/28 11:24:18.935 o.s.web.context.ContextLoader [] INFO  Root WebApplicationContext: initialization completed in 4434 ms
2019/08/28 11:24:19.473 o.s.b.w.s.ServletRegistrationBean [] INFO  Mapping servlet: 'dispatcherServlet' to [/]
2019/08/28 11:24:19.478 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'characterEncodingFilter' to: [/*]
2019/08/28 11:24:19.479 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019/08/28 11:24:19.479 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019/08/28 11:24:19.479 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'requestContextFilter' to: [/*]
2019/08/28 11:24:19.480 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'shirFilter' to: [/*]
2019/08/28 11:24:19.480 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'formAuthenticationFilter' to: [/*]
2019/08/28 11:24:19.480 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'kickoutSessionControlFilter' to: [/*]
2019/08/28 11:24:20.303 o.s.w.s.m.m.a.RequestMappingHandlerAdapter [] INFO  Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@68dc098b: startup date [Wed Aug 28 11:24:14 CST 2019]; root of context hierarchy
2019/08/28 11:24:20.444 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/Captcha.jpg]}" onto public void com.springboot.test.shiro.modules.login.CaptchaController.getCaptcha(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
2019/08/28 11:24:20.446 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/index]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.index(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2019/08/28 11:24:20.446 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.root(org.springframework.ui.Model)
2019/08/28 11:24:20.446 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/logout]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.logout(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2019/08/28 11:24:20.446 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/unlockAccount]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.unlockAccount(org.springframework.ui.Model)
2019/08/28 11:24:20.447 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.login(org.springframework.ui.Model)
2019/08/28 11:24:20.447 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/unauthorized]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.unauthorized(javax.servlet.http.HttpSession,org.springframework.ui.Model)
